Códigos Padre,Código Servinte,Descripción Antigua,Código Nuevo Estándar,Nueva Estructura Estándar Semántico,Caracteres,Clasificación Del Artículo,MCE,Psicotrópico (S/N),Marcación Regulado (MER),vesicantes e irritantes,Registro INVIMA,Expediente,Consecutivo,CUM sin ceros,CUM con ceros,CUM sin ceros Formulado,PBS,VEN,ATC,Código UDM,descripción UDM,Cond. de Almacenamiento,MIPRES DCI,Alto riesgo,LASA,Gabinete,Nivel 1 Estándar Semántico,Validación CUM,Inventario 24052024,Observación Reunión Compras 20240524,Validación CUM,Validación con CUM Adjudicación,Principio Activo,Nombre ATC,Nombre Preciso,Concentración Estandarizada (por unidad minima comercial),Forma Farmacéutica,Marca Comercial,Titular de Registro,IMPORTADOR,FABRICANTE,Vía Administración,Descripción CUM
191100,191100,DOSIS DE 18F- PMSA 1007 8 A 10 MCI,1911000,18 F-PMSA 1007 8 A 10MCI SOL INYECTABLE IV TRACERLAB MAGISTRAL,63,RADIOFARMACO/MAGISTRAL,NO,N,N/A,,RADIOFARMACO,N/A,N/A,N/A-N/A,N/A-N/A,N/A-N/A,PBS,N/A,N/A,DS,DOSIS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,N,18 F-PMSA 1007 8 A 10 MCI SOL INY MAGISTRAL,RADIOFARMACO / MAGISTRAL,8,ok,N/A-N/A,VERDADERO,18 F-PMSA 1007,NO APLICA,,10MCI,SOLUCION INYECTABLE,,TRACERLAB,#N/D,#N/D,INTRAVENOSA,#N/D
184019,184019,ABACAVIR 300MG,1840190,ABACAVIR SULFATO 300MG TABLETA RECUBIERTA ORAL HUMAX,52,MEDICAMENTO,NO,N,N/A,,2020M-0007267-R1,19974946,6,19974946-6,19974946-06,19974946-6,PBS,E,J05AF06,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ABACAVIR 300MG CAP / TAB / TAB REC,Activo,1,ok,19974946-6,VERDADERO,ABACAVIR,ABACAVIR,,300mg,TABLETA CUBIERTA CON PELICULA,,HUMAX PHARMACEUTICAL S.A.,#N/D,FARMATECH S.A.,ORAL,CAJA POR 60 TABLETAS EN BLISTER. ALUMINIO-PVC/PVDC(COLOR AZUL) POR 10 TABLETAS CADA UNO
184019,1840191,ABACAVIR SULFATO 300 MG TABLETA RECUBIERTA INSTITUCUONAL LABORATORIOS LEGRAND S.A.,1840191,ABACAVIR SULFATO 300MG TABLETA RECUBIERTA ORAL LEGRAND,54,MEDICAMENTO,NO,N,N/A,,2017M-0011943-R1,20028352,8,20028352-8,20028352-08,20028352-8,PBS,E,J05AF06,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ABACAVIR 300MG CAP / TAB / TAB REC,Activo,60,ajustadon en excel para hora cero,20028352-2,Actualizar Cum Negociacion 2024-2025,ABACAVIR,ABACAVIR,,300mg,TABLETA RECUBIERTA,,LABORATORIOS LEGRAND S.A.,#N/D,LABORATORIOS LEGRAND S.A.,ORAL,INSTITUCIONAL: CAJA POR UN FRASCO DE PEAD BLANCO Y TAPA EN PP BLANCO POR 60 TABLETAS RECUBIERTAS
184042,1840421,ABACAVIR/LAMIVUDINA 600/300 MG TABLETA RECUBIERTAABALAM HETERO LABS LIMITED UNIT-V CJ*30 U,1840421,ABACAVIR 600MG/LAMIVUDINA 300MG TABLETA RECUBIERTA ORAL HETERO CJ *30U (ABALAM),79,MEDICAMENTO,NO,N,MER,,2016M-0017175,20103720,2,20103720-2,20103720-02,20103720-2,PBS,E,J05AR02,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ABACAVIR+LAMIVUDINA (600+300)MG CAP / TAB / TAB REC,Activo,9,ok,20103720-2,VERDADERO,ABACAVIR+LAMIVUDINA,LAMIVUDINA Y ABACAVIR,,300mg,TABLETA CUBIERTA CON PELICULA,ABALAM,HETERO LABS LIMITED,SEVEN PHARMA COLOMBIA S.A.S.,HETERO LABS LIMITED UNIT-V,ORAL,CAJA PLEGADIZA CON FRASCO DE PEAD BLANCO OPACO CON TAPA DE PP BLANCA OPACA CON DESECANTE DE SILICAGEL POR 30 TABLETAS CUBIERTAS CON PELCULA .
1400740,1400740,ABATACEPT 125 MG/ 1 ML SLN INYECTABLE JER PRELLENA* 1 ML ORENCIA BRISTOL MYERS SQUIBB COL. CJ*4 U,1400740,ABATACEPT 125MG/1ML SOL INYECTABLE SC JER PRELLENA* 1ML BRISTOL CJ *4U (ORENCIA),80,MEDICAMENTO,NO,N,MER,,2019M-0013707-R1,20041743,2,20041743-2,20041743-02,20041743-2,PBS,N/A,L04AA24,JP,JERINGA PRELLENADA,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,N,ABATACEPT 125MG/ML SOL INY,Activo,#N/D,ok,20041743-2,VERDADERO,ABATACEPT,ABATACEPT,,125mg,SOLUCION INYECTABLE,ORENCIA,BRISTOL MYERS,BRISTOL MYERS SQUIBB DE COLOMBIA S.A,BRISTOL MYERS SQUIBB HOLDING PHARMA LTD,SUBCUTANEA,CAJA CON 4 JERINGAS PRELLENADAS DE DOSIS UNICA CON PROTECTOR DE AGUJA ULTRA SAFE PASSIVE
101058,101058,ESTERES ETILICOS ACEITE DE ADORMIDERA 480 MG / ML,1010580,ETIL ESTERES ACIDOS GRASOS YODADOS 480MG/1ML SOL INYECTABLE IM AMP *10ML GUERBET CJ *1U (LIPIODOL),98,MEDICAMENTO,NO,N,MER,,2021M-0005401-R2,19950974,2,19950974-2,19950974-02,19950974-2,PBS,E,V08AD01,AP,AMPOLLAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,S,N,N,ESTERES ETILICOS DE ACIDOS GRASOS YODADOS DE ACEITE DE ADORMIDERA 4.8GR/10ML(480MG/ML) SOL INY,Activo,4,ok,19950974-2,VERDADERO,ESTERES ETILICOS DE LOS ACIDOS GRASOS YODADOS Y NO YODADOS DE ACEITE DE ADORMIDERA EQUIVALENTES A YODO,ETIL ESTERES DE ACIDOS GRASOS YODADOS,,480mg,SOLUCION INYECTABLE,LIPIODOL ULTRA-FLUIDE,GUERBET,GUERBET COLOMBIA S.A.S.,GUERBET,INTRAUTERINA,CAJA POR 1 AMPOLLA DE VIDRIO TIPO I. INCOLORO POR 10 ML.
143104,143104,ACIDO URSODESOXICOLICO 300MG,1431040,URSODEOXICOLICO ACIDO 300MG TABLETA ORAL ZAMBON (URSACOL),57,MEDICAMENTO,NO,N,N/A,,2008 M-009720-R2,29634,4,29634-4,29634-04,29634-4,PBS,E,A05AA02,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,S,S,URSODESOXICOLICO ACIDO 300MG CAP / TAB / TAB REC,Activo,1071,ok,29634-4,VERDADERO,ACIDO URSODESOXICOLICO,URSODEOXICOLICO ACIDO,,300mg,TABLETA,URSACOL,ZAMBON COLOMBIA S.A.,#N/D,CASAR LABORATORIOS S.A,ORAL,CAJA DE CARTON POR 20SIN DATOTABLETAS ENVASADAS EN BLISTER PVC/ALUMINIO
143115,143115,ACIDO URSODESOXICOLICO 600MG (URSACOL),1431150,URSODEOXICOLICO ACIDO 600MG TABLETA ORAL ZAMBON (URSACOL),57,MEDICAMENTO,NO,N,N/A,,2015M-0016438,20087430,7,20087430-7,20087430-07,20087430-7,PBS,E,A05AA02,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,S,S,URSODESOXICOLICO ACIDO 600MG CAP / TAB / TAB REC,Activo,337,ok,20087430-7,VERDADERO,ACIDO URSODESOXICOLICO,URSODEOXICOLICO ACIDO,,600mg,TABLETA,URSACOL,ZAMBON COLOMBIA S.A.,#N/D,GONHER FARMACEUTICA LTDA.,ORAL,CAJA POR 15 TABLETAS EN BLISTER PVC/PVDC/ALUMINIO
146008,146008,ACEITE MINERAL 500 ML,1460080,ACEITE MINERAL SOL TOPICA FCO *500ML LEON,41,MAGISTRAL,NO,N,N/A,,DROGA BLANCA,N/A,N/A,N/A-N/A,N/A-N/A,N/A-N/A,PBS,N/A,N/A,FR,FRASCO,ALMACENAR A <30 GRADOS CENTIGRADOS,50868,N,N,N,ACEITE MINERAL SOL TOP,Magistral,1,ok,N/A-N/A,VERDADERO,ACEITE MINERAL,NO APLICA,,NA,SOLUCION TOPICA,,LEON,#N/D,#N/D,TOPICA (EXTERNA),#N/D
159051,159051,ACETAMINOFEN 10 MG ML SLN INY X 100 ML,1590510,ACETAMINOFEN 10MG/1ML SOL INYECTABLE IV FCO *100ML FRESENIUS,60,MEDICAMENTO,NO,N,N/A,,2020M-0014218-R1,20048683,3,20048683-3,20048683-03,20048683-3,PBS,V,N02BE01,FR,FRASCO,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACETAMINOFEN 10MG/ML SOL INY,Activo,2365,ajustadon en excel para hora cero,20048683-1,Cum Negociado columna AI. Actualizar SERVINTE. CUM de Base Excel OK,ACETAMINOFEN,PARACETAMOL,,10mg,SOLUCION INYECTABLE,,FRESENIUS KABI,FRESENIUS KABI COLOMBIA S.A.S,FRESENIUS KABI DEUTSCHLAND GMBH,INTRAVENOSA,CAJA X 10 FRASCOS DE VIDRIO TIPO II POR 100 ML CON TAPÃ“N DE HALOBULITO.
